書名,著者名,定価,詳細ページURL
デジタルリスキリング入門――時代を超えて学び続けるための戦略と実践,高橋宣成　著,"定価2,200円（本体2,000円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13525-6
Software Design 2023年8月号,,"定価1,562円（本体1,420円＋税10%）",https://gihyo.jp/magazine/SD/archive/2023/202308
"60分でわかる！シリーズ
60分でわかる！デジタル本人確認＆KYC 超入門",神谷英亮，笠原基和，中村竜人，渡辺良光　著,"定価1,430円（本体1,300円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13593-5
Microsoft Power Apps ローコード開発［実践］入門――ノンプログラマーにやさしいアプリ開発の手引きとリファレンス,青井航平，荒井隆徳，佐藤晴輝，萩原広揮　著，春原朋幸，曽我拓司　監修,"定価2,992円（本体2,720円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13567-6
ソフトウェア開発にChatGPTは使えるのか？――設計からコーディングまでAIの限界を探る,小野哲　著,"定価3,520円（本体3,200円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13615-4
"Software Design plusシリーズ
プロになるためのSpring入門――ゼロからの開発力養成講座",土岐孝平　著,"定価3,960円（本体3,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13613-0
"ゼロからはじめるシリーズ
ゼロからはじめるOneNote 基本&便利技［改訂最新版］",リンクアップ　著,"定価1,320円（本体1,200円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13585-0
ゼロからはじめる なるほど！ ChatGPT活用術～仕事の効率が劇的に変わるAI使いこなしのヒント,マイカ　著,"定価1,540円（本体1,400円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13601-7
"今すぐ使えるかんたんbizシリーズ
今すぐ使えるかんたんbizPython×Excel自動処理 ビジネス活用大全",土屋和人　著,"定価2,640円（本体2,400円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13583-6
"図解即戦力シリーズ
図解即戦力保険業界のしくみとビジネスがこれ1冊でしっかりわかる教科書［改訂2版］",GVフィナンシャル研究会　著，平野敦之　監修,"定価1,760円（本体1,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13599-7
"WEB+DB PRESS plusシリーズ
毎日使える！ Visual Studio Code──実践的な操作、言語ごとの開発環境、拡張機能開発",上田裕己　著,"定価2,860円（本体2,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13569-0
"ずかんシリーズ
自転車",自転車文化センター　監修，森下昌市郎　著,"定価2,948円（本体2,680円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13581-2
［カラー図解］ 海底探検の科学,後藤忠徳　著,"定価2,640円（本体2,400円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13607-9
"60分でわかる！シリーズ
60分でわかる！電帳法＆経理DX 超入門",土屋裕昭，大沢大作　著,"定価1,430円（本体1,300円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13579-9
"情報処理技術者試験シリーズ
令和05年【下期】基本情報技術者 パーフェクトラーニング過去問題集",山本三雄　著,"定価1,496円（本体1,360円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13523-2
"パーフェクトガイドシリーズ
GIMP パーフェクトガイド",広田正康　著,"定価2,860円（本体2,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13549-2
"知識地図シリーズ
Kubernetesの知識地図現場での基礎から本番運用まで",青山真也，小竹智士，長谷川誠，川部勝也，岩井佑樹，杉浦智基　著,"定価2,970円（本体2,700円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13573-7
WEB+DB PRESS Vol.135,,"定価1,628円（本体1,480円＋税10%）",https://gihyo.jp/magazine/wdpress/archive/2023/vol135
デジタルイラスト 「塗り」の教科書［CLIP STUDIO PAINT PRO/EX/iPad対応］,サイドランチ　著,"定価2,596円（本体2,360円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13561-4
YouTubeライブ配信大全［OBS Studio対応版］,リンクアップ　著，株式会社アバンク　監修,"定価2,420円（本体2,200円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13555-3
"Webデザイナー養成講座シリーズ
【改訂第3版】WordPress 仕事の現場でサッと使える！ デザイン教科書［WordPress 6.x対応版］",中島真洋　著，ロクナナワークショップ　監修,"定価3,300円（本体3,000円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13577-5
これならわかる! Googleアナリティクス4 アクセス解析超入門,志鎌真奈美　著,"定価2,200円（本体2,000円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13493-8
"COMODO（COMODO ライフブック）シリーズ
レシート探訪 1枚にみる小さな生活史",藤沢あかり　著,"定価1,760円（本体1,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13531-7
"図解即戦力シリーズ
図解即戦力ISO27001:2022の規格と審査がこれ1冊でしっかりわかる教科書",株式会社テクノソフト コンサルタント　岡田敏靖,"定価2,420円（本体2,200円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13541-6
"情報処理技術者試験シリーズ
令和05年【秋期】応用情報技術者 パーフェクトラーニング過去問題集",加藤昭，高見澤秀幸，矢野龍王　著,"定価2,090円（本体1,900円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13521-8
"図解即戦力シリーズ
図解即戦力金融業界のしくみとビジネスがこれ1冊でしっかりわかる教科書［改訂2版］",伊藤亮太　著,"定価1,760円（本体1,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13529-4
Software Design 2023年7月号,,"定価1,562円（本体1,420円＋税10%）",https://gihyo.jp/magazine/SD/archive/2023/202307
